symbol,bias,bull_percent,bear_percent
"NSE:BHEL,",BEARISH BIAS,82,18
"NSE:TCS,",BEARISH BIAS,82,18
"NSE:ASKAUTOLTD,",BEARISH BIAS,82,18
"NSE:EXICOM,",BEARISH BIAS,82,18
"NSE:AWFIS,",BEARISH BIAS,82,18
"NSE:HINDUNILVR,",BEARISH BIAS,81,19
"NSE:METROBRAND,",BULLISH BIAS,81,19
"NSE:OAL,",BEARISH BIAS,81,19
"NSE:SALASAR,",BEARISH BIAS,81,19
"NSE:TVSHLTD,",BEARISH BIAS,81,19
"NSE:SGMART,",BEARISH BIAS,81,19
"NSE:SOLARWORLD,",BEARISH BIAS,81,19
"NSE:CIGNITITEC,",BEARISH BIAS,80,20
"NSE:ASAL,",BULLISH BIAS,80,20
"NSE:COFORGE,",BEARISH BIAS,80,20
"NSE:FSL,",BEARISH BIAS,80,20
"NSE:CEATLTD,",BEARISH BIAS,80,20
"NSE:NEXT50,",BEARISH BIAS,80,20
"NSE:SBILIFE,",BULLISH BIAS,80,20
"NSE:MINDACORP,",BULLISH BIAS,80,20
"NSE:LIBERTSHOE,",BEARISH BIAS,79,21
"NSE:KRBL,",BEARISH BIAS,79,21
"NSE:PPLPHARMA,",BULLISH BIAS,79,21
"NSE:JSWSTEEL,",BEARISH BIAS,79,21
"NSE:BANCOINDIA,",BEARISH BIAS,79,21
"NSE:STANLEY,",BEARISH BIAS,79,21
"NSE:TRANSRAILL,",BULLISH BIAS,79,21
"NSE:HDFCBANK,",BEARISH BIAS,78,22
"NSE:INFY,",BEARISH BIAS,78,22
"NSE:ONGC,",BEARISH BIAS,78,22
"NSE:SOTL,",BEARISH BIAS,78,22
"NSE:HCLTECH,",BEARISH BIAS,78,22
"NSE:OFSS,",BEARISH BIAS,78,22
"NSE:MUKANDLTD,",BEARISH BIAS,78,22
"NSE:SYNCOMF,",BEARISH BIAS,78,22
"NSE:UTTAMSUGAR,",BEARISH BIAS,78,22
"NSE:ITBEES,",BEARISH BIAS,78,22
"NSE:ITETF,",BEARISH BIAS,78,22
"NSE:ITIETF,",BEARISH BIAS,78,22
"NSE:GMMPFAUDLR,",BULLISH BIAS,77,23
"NSE:HLEGLAS,",BEARISH BIAS,77,23
"NSE:SIMPLEXINF,",BEARISH BIAS,77,23
"NSE:KRSNAA,",BEARISH BIAS,77,23
"NSE:SANSERA,",BULLISH BIAS,77,23
"NSE:PAYTM,",BEARISH BIAS,77,23
"NSE:KPITTECH,",BEARISH BIAS,77,23
"NSE:HDFCMID150,",BEARISH BIAS,77,23
"NSE:MHRIL,",BEARISH BIAS,77,23
"NSE:PRICOLLTD,",BULLISH BIAS,77,23
"NSE:ATHERENERG,",BEARISH BIAS,77,23
"NSE:SAMBHV,",BULLISH BIAS,77,23
"NSE:BAJAJHIND,",BEARISH BIAS,76,24
"NSE:ICICIB22,",BEARISH BIAS,76,24
"NSE:GRAPHITE,",BEARISH BIAS,76,24
"NSE:HINDALCO,",BEARISH BIAS,76,24
"NSE:BCLIND,",BEARISH BIAS,76,24
"NSE:SENSEXBETA,",BEARISH BIAS,76,24
"NSE:NUCLEUS,",BEARISH BIAS,76,24
"NSE:JAIBALAJI,",BEARISH BIAS,76,24
"NSE:SASKEN,",BEARISH BIAS,76,24
"NSE:NAHARSPING,",BULLISH BIAS,76,24
"NSE:LTGILTBEES,",BULLISH BIAS,76,24
"NSE:WABAG,",BEARISH BIAS,76,24
"NSE:MOCAPITAL,",BEARISH BIAS,76,24
"NSE:EXCELSOFT,",BEARISH BIAS,76,24
"NSE:KHAICHEM,",BEARISH BIAS,75,25
"NSE:GHCL,",BEARISH BIAS,75,25
"NSE:ASTRAZEN,",BULLISH BIAS,75,25
"NSE:ALPHA,",BEARISH BIAS,75,25
"NSE:EMUDHRA,",BEARISH BIAS,75,25
"NSE:HNDFDS,",BEARISH BIAS,75,25
"NSE:AIAENG,",BEARISH BIAS,75,25
"NSE:GALLANTT,",BEARISH BIAS,75,25
"NSE:JASH,",BEARISH BIAS,75,25
"NSE:ECLERX,",BEARISH BIAS,75,25
"NSE:LOTUSDEV,",BEARISH BIAS,75,25
"NSE:STYRENIX,",BEARISH BIAS,74,26
"NSE:ASHAPURMIN,",BEARISH BIAS,74,26
"NSE:KANSAINER,",BEARISH BIAS,74,26
"NSE:PRAKASH,",BULLISH BIAS,74,26
"NSE:SKFINDIA,",BEARISH BIAS,74,26
"NSE:TATAELXSI,",BEARISH BIAS,74,26
"NSE:VARROC,",BEARISH BIAS,74,26
