Symbol,Score
ITC,40
PRAKASH,40
BHARATCOAL,40
PRECWIRE,40
LENSKART,40
ARSSBL,40
FINCABLES,40
HUHTAMAKI,40
BEPL,40
RALLIS,40
BAJAJHIND,40
LXCHEM,40
CRAFTSMAN,40
RAYMOND,40
RCF,40
MIDHANI,40
HITECH,40
NEWGEN,40
WAKEFIT,40
LINDEINDIA,40
SUNFLAG,40
MAHSEAMLES,40
SHALBY,40
SUNPHARMA,40
JTEKTINDIA,40
SHILCTECH,40
KOPRAN,40
STYRENIX,40
DEEPAKFERT,40
MAHSCOOTER,40
COROMANDEL,40
ADOR,40
INDIGOPNTS,40
MASTEK,40
ACC,40
STYL,40
CORONA,40
KHAICHEM,40
VIDYAWIRES,40
MOREPENLAB,40
EIDPARRY,40
SIMPLEXINF,40
TATAELXSI,40
DCW,40
ROUTE,40
DABUR,40
ALEMBICLTD,40
SUDARSCHEM,40
DALMIASUG,40
FUSION,37
BCLIND,37
INDIASHLTR,37
VAIBHAVGBL,37
MAHLIFE,37
DEN,37
TTKHLTCARE,37
YESBANK,37
RISHABH,37
ORIENTHOT,37
GRWRHITECH,37
KCP,37
NRBBEARING,37
SHILPAMED,37
LIBERTSHOE,37
STUDDS,37
KRISHANA,37
M&M,37
ONMOBILE,37
RADICO,37
IONEXCHANG,37
GODREJIND,37
GLENMARK,37
GENESYS,37
COHANCE,37
SHANTIGOLD,37
PSPPROJECT,37
MOIL,37
DHAMPURSUG,37
PCJEWELLER,37
GVT&D,37
DDEVPLSTIK,37
KTKBANK,37
LEMERITE,37
POONAWALLA,37
ADVENTHTL,37
CANFINHOME,37
SMCGLOBAL,37
SJVN,37
IOB,37
MUFIN,37
CAMPUS,37
PNCINFRA,37
TSFINV,37
VINATIORGA,37
ADANIPOWER,37
MAXESTATES,37
ASTRAMICRO,37
UDS,37
MEDICO,37
MAMATA,37
KPITTECH,37
PPLPHARMA,37
PARADEEP,37
ADANIENSOL,37
JBMA,37
DWARKESH,37
AWHCL,37
NDTV,37
JLHL,37
BIRLACORPN,37
BLUESTARCO,37
MARKSANS,37
RRKABEL,37
PAKKA,37
AEGISVOPAK,37
WABAG,37
ZYDUSWELL,37
DENTA,37
NILKAMAL,37
ASALCBR,37
NIFTYBETA,37
JPPOWER,37
MARATHON,37
HPL,37
ENDURANCE,37
KPIL,37
ESAFSFB,37
TIMKEN,37
JUBLCPL,37
SAFARI,37
EIMCOELECO,37
VIKRAMSOLR,37
AMBUJACEM,37
SMSPHARMA,37
BORORENEW,37
GREENPANEL,37
AARTIDRUGS,37
DCBBANK,37
SHREECEM,37
SBCL,37
INDOSTAR,37
SKMEGGPROD,37
SHANTIGEAR,37
ARVIND,37
FMGOETZE,37
SBIN,37
FDC,37
OSWALPUMPS,37
SPARC,37
JKLAKSHMI,37
RATNAMANI,37
ASTERDM,37
OMAXE,37
SANGHIIND,37
ALIVUS,37
GMMPFAUDLR,37
HEROMOTOCO,37
DEEPINDS,37
CENTRALBK,37
REDINGTON,37
TMPV,37
KRN,37
THOMASCOOK,37
MARINE,37
TATASTEEL,37
TITAN,37
PACEDIGITK,37
TTKPRESTIG,37
HDFCBANK,37
HUBTOWN,37
PANAMAPET,37
ADANIENT,37
HDFCSML250,37
VEEDOL,37
LUMAXTECH,37
LLOYDSENT,37
PATELRMART,37
ISGEC,37
RITES,37
WSTCSTPAPR,37
ZEEL,37
PREMIERENE,37
TVSSRICHAK,37
LTF,37
INTERARCH,37
JUNIPER,37
VEDL,37
KDDL,37
MOL,37
J&KBANK,37
CUB,37
ASTRAZEN,37
CIEINDIA,37
CERA,37
NYKAA,37
PURVA,37
