Symbol,Score
GEOJITFSL,40
YESBANK,40
FSL,40
PFC,40
SAFARI,40
VIYASH,40
KEI,40
VAKRANGEE,40
MMFL,40
SUNTV,40
GESHIP,40
EMKAY,40
STYRENIX,40
RATNAMANI,40
KAMDHENU,40
JKLAKSHMI,40
PFOCUS,40
FLUOROCHEM,40
DCBBANK,40
GMRAIRPORT,40
JMFINANCIL,40
VEEDOL,40
SANGHVIMOV,40
BLKASHYAP,40
PVRINOX,40
REDINGTON,40
AIAENG,40
VIMTALABS,40
ABB,40
TIIL,40
ADANIENT,40
HUBTOWN,40
LANDMARK,40
TIMKEN,40
GSPL,40
COMMOIETF,40
SIYSIL,40
SULA,40
JKCEMENT,40
LALPATHLAB,40
ASTRAMICRO,40
UNITDSPR,40
MHRIL,40
LLOYDSME,40
INDIAMART,40
SILVERADD,40
AJMERA,40
CANBK,40
ARMANFIN,40
CYIENTDLM,40
NEXT50,40
SBC,40
SUMICHEM,40
JUNIORBEES,40
DIVISLAB,40
THYROCARE,40
ARTEMISMED,40
MARUTI,40
TCPLPACK,40
UTKARSHBNK,40
HDFCSENSEX,40
BHARTIARTL,40
SATIN,40
ASALCBR,40
RAMRAT,40
NIFTYBETA,40
LGEINDIA,40
VIDYAWIRES,40
RTNPOWER,40
RAMAPHO,40
NIFTYBEES,40
ARVIND,40
CONTROLPR,40
GLOBUSSPR,40
MOM30IETF,40
ADANIPOWER,40
GUJGASLTD,40
RPGLIFE,40
WAKEFIT,40
SIRCA,40
GHCLTEXTIL,40
POONAWALLA,40
RPOWER,40
DATAMATICS,40
NDTV,40
SPANDANA,40
BANKBEES,40
BIRLAMONEY,40
LT,40
UJJIVANSFB,40
KIRLPNU,40
ULTRACEMCO,40
COFORGE,40
PPLPHARMA,40
JYOTHYLAB,40
COLPAL,40
ONMOBILE,40
LEMERITE,40
NMDC,40
HCG,40
IDFCFIRSTB,40
SHK,40
BAJAJ-AUTO,40
PRINCEPIPE,40
HINDWAREAP,40
ATALREAL,40
MANKIND,40
RECLTD,40
TVTODAY,40
UPL,40
VGUARD,40
MUKANDLTD,40
AFFLE,40
PETRONET,40
LATENTVIEW,40
CEMPRO,40
JINDALSTEL,40
MFSL,40
HOMEFIRST,40
NIBE,40
MOSCHIP,40
MAHSEAMLES,40
TMCV,40
STOVEKRAFT,40
AGARWALEYE,40
ONESOURCE,40
UNIMECH,40
TSFINV,40
PCJEWELLER,40
MOREPENLAB,40
BANDHANBNK,40
CARERATING,40
MRPL,40
QUADFUTURE,40
INDIGOPNTS,40
RAMCOCEM,40
NIF100BEES,40
JUBLCPL,40
ATULAUTO,40
GUJTHEM,40
KABRAEXTRU,40
KPIL,40
KAMATHOTEL,40
KARURVYSYA,40
CUMMINSIND,40
KOPRAN,40
HEXT,40
AJAXENGG,40
TRENT,40
LMW,40
LIBERTSHOE,40
LICHSGFIN,40
LUMAXIND,40
TVSHLTD,40
NCC,40
BLUEDART,40
HYUNDAI,40
PRSMJOHNSN,40
AVL,40
SHILCTECH,40
WAAREEENER,40
RAYMOND,40
RCF,40
SAPPHIRE,40
RICOAUTO,40
SMCGLOBAL,40
LLOYDSENT,40
RUPA,40
DSSL,40
KRN,40
MANBA,40
JINDALSAW,40
SBIN,40
ACMESOLAR,40
PRAKASH,40
SWIGGY,40
PIDILITIND,40
MAYURUNIQ,40
CARRARO,40
BHARATFORG,40
SANDHAR,40
NILKAMAL,40
CONSUMBEES,40
NOCIL,40
MAMATA,40
IGIL,40
IKS,40
RTNINDIA,40
BEPL,40
EUROPRATIK,40
BLACKBUCK,40
SWANCORP,40
BIRLACORPN,40
SBIBPB,40
SHREDIGCEM,40
PGHL,40
DRREDDY,40
EICHERMOT,40
EQUITASBNK,40
BPCL,40
ELECTCAST,40
DEVX,40
ELGIEQUIP,40
ESCORTS,40
GHCL,40
FACT,40
ATLANTAELE,40
FINCABLES,40
RNBDENIMS,40
UFLEX,40
STUDDS,40
SGMART,40
UTIAMC,40
DEEPAKFERT,40
DCMSHRIRAM,40
EPACKPEB,40
GRAPHITE,40
PIRAMALFIN,40
VIKRAMSOLR,40
PATELRMART,40
CHAMBLFERT,40
WEWORK,40
CHOLAFIN,40
ADVANCE,40
PACEDIGITK,40
SHALBY,40
COROMANDEL,40
COSMOFIRST,40
CRISIL,40
RUBICON,40
CRAMC,40
LAXMIINDIA,40
CPPLUS,40
RHIM,40
INDHOTEL,40
HINDPETRO,40
SAMBHV,40
FISCHER,40
DIGITIDE,40
IFBIND,40
BELRISE,40
THELEELA,40
LENSKART,40
EFCIL,40
GMMPFAUDLR,40
GILLETTE,40
INFY,40
INGERRAND,40
TATAINVEST,40
IOC,40
IONEXCHANG,40
HDBFS,40
HCC,40
BRIGHOTEL,40
HEROMOTOCO,40
BOMDYEING,40
GMBREW,40
GNFC,40
GODFRYPHLP,40
RAYMONDREL,40
GLAND,40
FMGOETZE,40
JSWCEMENT,40
LOTUSDEV,40
CASTROLIND,40
JSLL,40
SHANTIGOLD,40
HDFCBANK,40
HEG,40
EBGNG,40
NORTHARC,40
HITECH,40
PANAMAPET,40
GAIL,40
MEDIASSIST,40
DODLA,40
LIQUIDIETF,40
KIMS,40
INDSWFTLAB,40
SAREGAMA,40
ABCAPITAL,40
SOLARWORLD,40
IPL,40
ANGELONE,40
ERIS,40
VOLTAMP,40
INNOVACAP,40
GMDCLTD,40
JARO,40
CHOLAHLDNG,40
SHYAMMETL,40
PANACEABIO,40
SBCL,40
NAM-INDIA,40
SANGAMIND,40
PLATIND,40
HDFCAMC,40
MON100,40
ENTERO,40
GULFOILLUB,40
PARKHOTELS,40
PFS,40
PGEL,40
EPACK,40
UTLSOLAR,40
TENNIND,40
BALRAMCHIN,40
BALMLAWRIE,40
INDUSINDBK,40
KIRLOSENG,40
ROLEXRINGS,40
FMCGIETF,40
URJA,40
WABAG,40
ATGL,40
TIINDIA,40
ASHOKA,40
CANTABIL,40
ASKAUTOLTD,40
TECHNOE,40
NYKAA,40
FINOPB,40
BAJAJHIND,40
SJS,40
SIGACHI,40
PAYTM,40
DEEPAKNTR,40
OBEROIRLTY,40
SOUTHBANK,40
MONTECARLO,40
NUVOCO,40
PSPPROJECT,40
MUTHOOTMF,40
DEVYANI,40
ASAHIINDIA,40
HUDCO,40
SURAJEST,40
DOLLAR,40
CGCL,40
CHEMPLASTS,40
INDIASHLTR,40
