Stock,Circuit Type,Status,LTP,High,Upper Limit,Low,Lower Limit,Volume
SMLMAH,Upper Circuit,On Circuit,4417.3,4416.0,4409.6,4196.5,-,0
NACLIND,Upper Circuit,Touched & Reversed,123.76,124.36,124.13,117.58,-,0
